// <randopt_subgroupid>,<rate>,<randopt_id>,<randopt_min_value>,<randopt_max_value>

// Crimson Weapon
RDMOPTSG_Crimson_Weapon,1,RDMOPT_WEAPON_ATTR_NOTHING,0,0
RDMOPTSG_Crimson_Weapon,1,RDMOPT_WEAPON_ATTR_WATER,0,0
RDMOPTSG_Crimson_Weapon,1,RDMOPT_WEAPON_ATTR_GROUND,0,0
RDMOPTSG_Crimson_Weapon,1,RDMOPT_WEAPON_ATTR_FIRE,0,0
RDMOPTSG_Crimson_Weapon,1,RDMOPT_WEAPON_ATTR_WIND,0,0
RDMOPTSG_Crimson_Weapon,1,RDMOPT_WEAPON_ATTR_SAINT,0,0
RDMOPTSG_Crimson_Weapon,1,RDMOPT_WEAPON_ATTR_DARKNESS,0,0
// Vicious Weapon Groups
// Group 1 Slot 1
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_MDAMAGE_PROPERTY_NOTHING_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_MDAMAGE_PROPERTY_WATER_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_MDAMAGE_PROPERTY_GROUND_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_MDAMAGE_PROPERTY_FIRE_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_MDAMAGE_PROPERTY_WIND_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_MDAMAGE_PROPERTY_POISON_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_MDAMAGE_PROPERTY_SAINT_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_MDAMAGE_PROPERTY_DARKNESS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_MDAMAGE_PROPERTY_TELEKINESIS_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_MDAMAGE_PROPERTY_UNDEAD_TARGET,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_HEAL_VALUE,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_VAR_MAGICATKPERCENT,1,15
RDMOPTSG_Vicious_Weapon_Group_1_Slot_1,1,RDMOPT_VAR_MAGICATKPERCENT,1,15
// Group 1 Slot 2
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_MDAMAGE_NOTHING,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_MDAMAGE_UNDEAD,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_MDAMAGE_ANIMAL,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_MDAMAGE_PLANT,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_MDAMAGE_INSECT,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_MDAMAGE_FISHS,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_MDAMAGE_DEVIL,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_MDAMAGE_HUMAN,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_MDAMAGE_ANGEL,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_MDAMAGE_DRAGON,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_CLASS_MDAMAGE_NORMAL,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_CLASS_MDAMAGE_BOSS,1,20
RDMOPTSG_Vicious_Weapon_Group_1_Slot_2,1,RDMOPT_RACE_IGNORE_MDEF_PERCENT_NOTHING,1,30
